Old URL,Redirect To,Category,Priority,Notes
/how-solar-power-systems-can-benefit-commercial-property-owners/,/services/commercial-solar-installation,Blog Post,Medium,Redirect to commercial solar page
/impact-of-indoor-air-quality-on-your-health-and-comfort/,/services/indoor-air-quality,Blog Post,Medium,Redirect to IAQ service page
/why-summer-ac-tune-ups-are-essential-for-comfort-and-efficiency/,/blog/hvac/why-summer-ac-tune-ups-are-essential,Blog Post,Medium,AC tune-up content
/solar-energy-facts-people-should-know/,/blog/solar/solar-energy-facts,Blog Post,Medium,Solar education
/desert-shield-water-filtration-the-smart-choice-for-tucson-homes/,/services/water-filtration,Blog Post,Medium,Redirect to water filtration service
/is-a-tucson-solar-home-energy-audit-worth-it/,/services/home-energy-audit,Blog Post,Medium,Redirect to energy audit service
/why-solar-energy-is-the-future/,/blog/solar/why-solar-energy-is-the-future,Blog Post,Medium,Solar blog content
/how-to-make-an-old-home-more-energy-efficient/,/blog/hvac/how-to-make-an-old-home-more-energy-efficient,Blog Post,Medium,Energy efficiency blog
/blog/2023/,SKIP,Date Archive,Skip,Date archive - no equivalent page
/choosing-the-best-ac-repair-near-me-essential-tips-for-finding-reliable-service/,/blog/hvac/choosing-the-best-ac-repair-near-me-essential-tips-for-findi,Blog Post,High,AC repair tips - high value
/services/heating/,/services/hvac,Service Path,High,Old service category to new
/roofing/roof-types/pitched-roofs/,/services/pitched-roofs,Service Path,Medium,Roof type page
/heater-installation/,/services/heater-installation-tucson,Service Path,High,Old service path
/services/drain-clearing-coronade-tucson,/services/drain-clearing-corona-de-tucson,Service Path,High,Typo fix (coronade vs corona-de)
/services/heating-coronade-tucson,/services/heating-corona-de-tucson,Service Path,High,Typo fix
/how-do-i-qualify-for-the-new-ac-unit-rebates/,/blog/hvac/how-do-i-qualify-for-ac-rebates,Blog Post,High,Rebates - conversion content
/careers/plumbing-sales-consultant/,/careers,Careers,Medium,All career pages redirect to careers
/services/roofing-coronade-tucson,/services/roofing-corona-de-tucson,Service Path,High,Typo fix
/drainsewer-ritaranch,/services/drain-sewer-rita-ranch,Service-Location,High,Old flat URL to new nested structure
/permit-to-install-a-new-water-heater/,/blog/plumbing/permit-to-install-a-new-water-heater,Blog Post,Medium,Water heater permit blog
/heating/heater-service/,/services/heater-service-tucson,Service Path,High,Old nested to new flat
/electrical/home-energy-upgrades-tucson/,/services/home-energy-upgrades,Service Path,Medium,Old nested to new flat
/careers/hvac-service-technician/,/careers,Careers,Medium,All career pages redirect to careers
/drainsewer-catalinafoothills,/services/drain-sewer-catalina-foothills,Service-Location,High,Old flat URL to new nested structure
/plumbing-drexelheights,/services/plumbing-drexel-heights,Service-Location,High,Old flat URL to new nested structure
/2023/10/,SKIP,Date Archive,Skip,Date archive - no equivalent page
/hvac-saddlebrookecatalina,/services/hvac-saddle-brooke-catalina,Service-Location,High,Old flat URL to new nested structure
/blog/air-conditioning-in-tucson-your-guide-to-a-cool-summer/,/blog/hvac/air-conditioning-in-tucson-your-guide-to-a-cool-summer,Blog Post,High,Blog path update
/blog/the-best-materials-for-repiping-a-home/,/blog/plumbing/best-materials-for-repiping-a-home,Blog Post,Medium,Repiping blog
/electrical/electrical-repairs-tucson/,/services/electrical-repair,Service Path,High,Old nested to new flat
/electrical/lighting-upgrades-tucson/,/services/lighting-upgrades,Service Path,Medium,Old nested to new flat
/services/plumbing-coronade-tucson,/services/plumbing-corona-de-tucson,Service Path,High,Typo fix
/services/solar-installation-coronade-tucson,/services/solar-installation-corona-de-tucson,Service Path,High,Typo fix
/services/electrical-coronade-tucson,/services/electrical-corona-de-tucson,Service Path,High,Typo fix
/why-did-hot-water-come-out-of-my-cold-water-tap/,/blog/plumbing/why-did-hot-water-come-out-of-my-cold-water-tap,Blog Post,Low,Plumbing FAQ blog
/services/air-conditioning/ac-repair-tucson/,/services/ac-repair-tucson,Service Path,High,Old nested to new flat
/how-solar-power-systems-work-everything-you-need-to-know/,/blog/solar/how-solar-power-systems-work,Blog Post,Medium,Solar education
/solarinstallation-tucson,/services/solar-installation-tucson,Service-Location,High,Old flat URL to new nested structure
/electrical/panel-upgrades-tucson/,/services/electrical-panel-upgrades,Service Path,High,Old nested to new flat
/heating/heat-pumps/,/services/heat-pumps,Service Path,High,Old nested to new flat
/electrical-avravalley,/services/electrical-avra-valley,Service-Location,High,Old flat URL to new nested structure
/electrical-tanqueverde,/services/electrical-tanque-verde,Service-Location,High,Old flat URL to new nested structure
/careers/plumbing-jobs-tucson/,/careers,Careers,Medium,All career pages redirect to careers
/roofing-easttucson,/services/roofing-east-tucson,Service-Location,High,Old flat URL to new nested structure
/solarinstallation-catalinafoothills,/services/solar-installation-catalina-foothills,Service-Location,High,Old flat URL to new nested structure
/benefits-of-routine-air-conditioner-maintenance/,/blog/hvac/benefits-of-routine-air-conditioner-maintenance,Blog Post,Medium,AC maintenance blog
/electrical/lighting-upgrades/,/services/lighting-upgrades,Service Path,Medium,Old nested to new flat
/blog/2024/,SKIP,Date Archive,Skip,Date archive - no equivalent page
/blog/2020/,SKIP,Date Archive,Skip,Date archive - no equivalent page
/careers/hvac-lead-installer/,/careers,Careers,Medium,All career pages redirect to careers
/solarinstallation-saddlebrookecatalina,/services/solar-installation-saddle-brooke-catalina,Service-Location,High,Old flat URL to new nested structure
/what-kind-of-air-conditioning-preventive-maintenance-do-i-need/,/blog/hvac/what-kind-of-air-conditioning-preventive-maintenance-do-i-need,Blog Post,Medium,AC maintenance blog
/roofing-greenvalley,/services/roofing-green-valley,Service-Location,High,Old flat URL to new nested structure
/heating/heater-tune-up/,/services/heater-tuneup-tucson,Service Path,High,Old nested to new flat
/2024/06/,SKIP,Date Archive,Skip,Date archive - no equivalent page
/8-tips-for-managing-your-air-conditioning-in-tucson-during-the-summer/,/blog/hvac/8-tips-for-managing-your-air-conditioning-in-tucson-during-t,Blog Post,High,Seasonal content - high value
/how-repiping-can-improve-your-home-water-quality/,/blog/plumbing/how-repiping-can-improve-your-home-water-quality,Blog Post,Medium,Repiping blog
/heating-orovalley,/services/heating-oro-valley,Service-Location,High,Old flat URL to new nested structure
/solarinstallation-greenvalley,/services/solar-installation-green-valley,Service-Location,High,Old flat URL to new nested structure
/plumbing-easttucson,/services/plumbing-east-tucson,Service-Location,High,Old flat URL to new nested structure
/plumbing-coronadetucson,/services/plumbing-corona-de-tucson,Service-Location,High,Old flat URL to new nested structure
/blog/2017/,SKIP,Date Archive,Skip,Date archive - no equivalent page
/heating-ritaranch,/services/heating-rita-ranch,Service-Location,High,Old flat URL to new nested structure
/heating-greenvalley,/services/heating-green-valley,Service-Location,High,Old flat URL to new nested structure
/what-temperature-should-i-set-my-thermostat,/blog/hvac/what-temperature-should-i-set-my-thermostat,Blog Post,Medium,Thermostat blog (no trailing slash variant)
/blog/permit-to-install-a-new-water-heater/,/blog/plumbing/permit-to-install-a-new-water-heater,Blog Post,Medium,Water heater permit blog
/2023/09/,SKIP,Date Archive,Skip,Date archive - no equivalent page
/heating-drexelheights,/services/heating-drexel-heights,Service-Location,High,Old flat URL to new nested structure
/hvac-coronadetucson,/services/hvac-corona-de-tucson,Service-Location,High,Old flat URL to new nested structure
/duct-services/,/services/duct-repair-tucson,Service Path,Medium,Old service path to new
/2021/09/,SKIP,Date Archive,Skip,Date archive - no equivalent page
/careers/plumbing-apprentice/,/careers,Careers,Medium,All career pages redirect to careers
/careers/plumbing-technician/,/careers,Careers,Medium,All career pages redirect to careers
/hvac-drexelheights,/services/hvac-drexel-heights,Service-Location,High,Old flat URL to new nested structure
/blog/2022/,SKIP,Date Archive,Skip,Date archive - no equivalent page
/hvac-gladdenfarms,/services/hvac-gladden-farms,Service-Location,High,Old flat URL to new nested structure
/roofing-gladdenfarms,/services/roofing-gladden-farms,Service-Location,High,Old flat URL to new nested structure
/drainsewer-drexelheights,/services/drain-sewer-drexel-heights,Service-Location,High,Old flat URL to new nested structure
/roofing-redrockcasagrande,/services/roofing-red-rock-casa-grande,Service-Location,High,Old flat URL to new nested structure
/plumbing-tanqueverde,/services/plumbing-tanque-verde,Service-Location,High,Old flat URL to new nested structure
/plumbing-orovalley,/services/plumbing-oro-valley,Service-Location,High,Old flat URL to new nested structure
/drainsewer-greenvalley,/services/drain-sewer-green-valley,Service-Location,High,Old flat URL to new nested structure
/blog/drain-cleaning-solutions-that-actually-work/,/blog/plumbing/drain-cleaning-solutions-that-actually-work,Blog Post,Medium,Drain cleaning blog
/our-emergency-hvac-services-taking-precautions-during-the-pandemic/,SKIP,Outdated,Skip,COVID-era content - outdated
/electrical-gladdenfarms,/services/electrical-gladden-farms,Service-Location,High,Old flat URL to new nested structure
/2022/04/,SKIP,Date Archive,Skip,Date archive - no equivalent page
/plumbing-redrockcasagrande,/services/plumbing-red-rock-casa-grande,Service-Location,High,Old flat URL to new nested structure
/heating-picturerocks,/services/heating-picture-rocks,Service-Location,High,Old flat URL to new nested structure
/roofing-picturerocks,/services/roofing-picture-rocks,Service-Location,High,Old flat URL to new nested structure
/roofing-orovalley,/services/roofing-oro-valley,Service-Location,High,Old flat URL to new nested structure
/2022/06/,SKIP,Date Archive,Skip,Date archive - no equivalent page
/heating-saddlebrookecatalina,/services/heating-saddle-brooke-catalina,Service-Location,High,Old flat URL to new nested structure
/drainsewer-casasadobes,/services/drain-sewer-casas-adobes,Service-Location,High,Old flat URL to new nested structure
/solarinstallation-picturerocks,/services/solar-installation-picture-rocks,Service-Location,High,Old flat URL to new nested structure
/solarinstallation-marana,/services/solar-installation-marana,Service-Location,High,Old flat URL to new nested structure
/plumbing-saddlebrookecatalina,/services/plumbing-saddle-brooke-catalina,Service-Location,High,Old flat URL to new nested structure
/troubleshooting-common-issues-during-or-after-a-repiping-project/,/blog/plumbing/troubleshooting-common-issues-repiping-project,Blog Post,Medium,Repiping troubleshooting
/services/family-protection-plans,/family-protection-plans,Service Path,High,Path correction
/solarinstallation-sahuarita,/services/solar-installation-sahuarita,Service-Location,High,Old flat URL to new nested structure
/services/plumbing/burst-pipe-and-sewer-line-repair-tucson/,/services/sewer-line-repair,Service Path,High,Old nested to new flat
/solarinstallation-ritaranch,/services/solar-installation-rita-ranch,Service-Location,High,Old flat URL to new nested structure
/solarinstallation-orovalley,/services/solar-installation-oro-valley,Service-Location,High,Old flat URL to new nested structure
/heating-tanqueverde,/services/heating-tanque-verde,Service-Location,High,Old flat URL to new nested structure
/roofing-drexelheights,/services/roofing-drexel-heights,Service-Location,High,Old flat URL to new nested structure
/drainsewer-picturerocks,/services/drain-sewer-picture-rocks,Service-Location,High,Old flat URL to new nested structure
/2025/06/,SKIP,Date Archive,Skip,Future date archive - no equivalent
/heating-catalinafoothills,/services/heating-catalina-foothills,Service-Location,High,Old flat URL to new nested structure
/heating-easttucson,/services/heating-east-tucson,Service-Location,High,Old flat URL to new nested structure
/drainsewer-vail,/services/drain-sewer-vail,Service-Location,High,Old flat URL to new nested structure
/roofing-catalinafoothills,/services/roofing-catalina-foothills,Service-Location,High,Old flat URL to new nested structure
/plumbing-greenvalley,/services/plumbing-green-valley,Service-Location,High,Old flat URL to new nested structure
/solarinstallation-redrockcasagrande,/services/solar-installation-red-rock-casa-grande,Service-Location,High,Old flat URL to new nested structure
/heating-coronadetucson,/services/heating-corona-de-tucson,Service-Location,High,Old flat URL to new nested structure
/hello-world/,SKIP,Junk,Skip,WordPress default post - no value
/blog/discover-the-benefits-of-suntrac-air-conditioning-systems/,/blog/hvac/discover-the-benefits-of-suntrac-air-conditioning-systems,Blog Post,Medium,SunTrac blog
/cortaro,/service-areas/cortaro,Service Area,Medium,Location page redirect
/solarinstallation-drexelheights,/services/solar-installation-drexel-heights,Service-Location,High,Old flat URL to new nested structure
/plumber-,SKIP,Junk,Skip,Incomplete URL - no value
/heater-service/,/services/heater-service-tucson,Service Path,High,Old service path
/plumbing-gladdenfarms,/services/plumbing-gladden-farms,Service-Location,High,Old flat URL to new nested structure
/plumber-tucson/drain-cleaning-tucson/,/services/drain-clearing,Service Path,High,Old nested to new flat
/drain-cleaning-tucson/,/services/drain-clearing,Service Path,High,Old service path
/solarinstallation-easttucson,/services/solar-installation-east-tucson,Service-Location,High,Old flat URL to new nested structure
/search?q=%7Bsearch_term_string%7D,SKIP,Junk,Skip,Search template placeholder - no value
/solarinstallation-vail,/services/solar-installation-vail,Service-Location,High,Old flat URL to new nested structure
/electrical-orovalley,/services/electrical-oro-valley,Service-Location,High,Old flat URL to new nested structure
/solarinstallation-gladdenfarms,/services/solar-installation-gladden-farms,Service-Location,High,Old flat URL to new nested structure
/drainsewer-redrockcasagrande,/services/drain-sewer-red-rock-casa-grande,Service-Location,High,Old flat URL to new nested structure
/heating-casasadobes,/services/heating-casas-adobes,Service-Location,High,Old flat URL to new nested structure
/hvac-easttucson,/services/hvac-east-tucson,Service-Location,High,Old flat URL to new nested structure
/hvac-casasadobes,/services/hvac-casas-adobes,Service-Location,High,Old flat URL to new nested structure
/drainsewer-rillito,/services/drain-sewer-rillito,Service-Location,High,Old flat URL to new nested structure
/solarinstallation-avravalley,/services/solar-installation-avra-valley,Service-Location,High,Old flat URL to new nested structure
/electrical/circuit-breakers/,/services/circuit-breakers,Service Path,Medium,Old nested to new flat
/drainsewer-marana,/services/drain-sewer-marana,Service-Location,High,Old flat URL to new nested structure
/hvac-orovalley,/services/hvac-oro-valley,Service-Location,High,Old flat URL to new nested structure
/electrical-drexelheights,/services/electrical-drexel-heights,Service-Location,High,Old flat URL to new nested structure
/hvac-catalinafoothills,/services/hvac-catalina-foothills,Service-Location,High,Old flat URL to new nested structure
/solarinstallation-casasadobes,/services/solar-installation-casas-adobes,Service-Location,High,Old flat URL to new nested structure
/2021/12/,SKIP,Date Archive,Skip,Date archive - no equivalent page
/2020/10/,SKIP,Date Archive,Skip,Date archive - no equivalent page
/electrical-coronadetucson,/services/electrical-corona-de-tucson,Service-Location,High,Old flat URL to new nested structure
/roofing/roof-types/metal-roofing/,/services/metal-roofs,Service Path,Medium,Roof type page
/solarinstallation-cortaro,/services/solar-installation-cortaro,Service-Location,High,Old flat URL to new nested structure
/electrical/outlets-switches/,/services/outlets-switches,Service Path,Medium,Old nested to new flat
/roofing-saddlebrookecatalina,/services/roofing-saddle-brooke-catalina,Service-Location,High,Old flat URL to new nested structure
/service-areas/cortaro,/service-areas/cortaro,Service Area,Medium,Check if page exists - may be duplicate
/services/drain-clearing-saddle-brooke,/services/drain-clearing-saddle-brooke-catalina,Service Path,High,Incomplete location name
/service-areas/littletown/,SKIP,Service Area,Skip,Littletown not a service area
/2022/11/,SKIP,Date Archive,Skip,Date archive - no equivalent page
/covid-19-response/,SKIP,Outdated,Skip,COVID-era content - outdated
/2022/09/,SKIP,Date Archive,Skip,Date archive - no equivalent page
/plumber-tucson/trenchless-sewer-repair-replacement/,/services/trenchless-repair,Service Path,High,Old nested to new flat
/solar-panel-installers-should-you-diy-your-solar-panel-installation/,/blog/solar/should-you-diy-solar-panel-installation,Blog Post,Medium,Solar DIY blog
/resources/video-testimonial/,/video-testimonials,Resource,Medium,Testimonial page redirect
/2022/01/,SKIP,Date Archive,Skip,Date archive - no equivalent page
/permit-to-install-a-new-water-heater,/blog/plumbing/permit-to-install-a-new-water-heater,Blog Post,Medium,No trailing slash variant
/2022/07/,SKIP,Date Archive,Skip,Date archive - no equivalent page
/solar-tucson/commercial-solar-installations/,/services/commercial-solar-installation,Service Path,High,Old nested to new flat
/service-areas/littletown,SKIP,Service Area,Skip,Littletown not a service area
/residential-roofing/solar-tubular-lights/,/services/solar-tubular-lights,Service Path,Medium,Old nested to new flat
/2022/08/,SKIP,Date Archive,Skip,Date archive - no equivalent page
/ductless-mini-split-ac-repair/,/services/ductless-repair-tucson,Service Path,High,Old service path
/air-conditioning/improve-indoor-air-quality/,/services/indoor-air-quality,Service Path,High,Old nested to new flat
/air-conditioning/r22-phaseout/,/r22-phaseout,Resource,High,R22 phaseout page redirect
/electrical/ceiling-fan-installation/,/services/ceiling-fan-installation,Service Path,Medium,Old nested to new flat
/air-conditioning/ductless-mini-split-ac-repair-installation-tucson/,/services/ductless-installation-tucson,Service Path,High,Ductless service
/emergency-ac-repair-tucson/,/services/ac-repair-tucson,Service Path,High,Emergency AC to main AC repair
/drain-and-sewer/sewer-camera-inspection/,/services/sewer-camera-inspection,Service Path,High,Old nested to new flat
/solar-energy-solutions/,/services/solar,Service Path,High,Old solar path to new
/2021/11/,SKIP,Date Archive,Skip,Date archive - no equivalent page
/favicon.ico?favicon.0b3bf435.ico,SKIP,Junk,Skip,Broken favicon request
/roofing/metal-roofing/,/services/metal-roofs,Service Path,Medium,Old nested to new flat
/video-center/careers/,/careers,Resource,Medium,Old video center path
/electrical/electrical-repairs/,/services/electrical-repair,Service Path,High,Old nested to new flat
/services/air-conditioning/,/services/hvac,Service Path,High,AC category to HVAC
/resources/education-library/,/education-library,Resource,High,Education library redirect
/blog/8-tips-for-managing-your-air-conditioning-in-tucson-during-the-summer/,/blog/hvac/8-tips-for-managing-your-air-conditioning-in-tucson-during-t,Blog Post,High,Seasonal content
/air-conditioning-tucson/,/services/hvac-tucson,Service Path,High,Old AC path to new
/2022/12/,SKIP,Date Archive,Skip,Date archive - no equivalent page
/contact-us/,/contact,Resource,High,Contact page redirect
/s/g0x7Q92,SKIP,Junk,Skip,Shortened URL or tracking - no value
/solar/,/services/solar,Service Path,High,Old solar path to new
/2023/03/,SKIP,Date Archive,Skip,Date archive - no equivalent page
/commercial-roofing/roof-coating/,/services/commercial-roof-coating,Service Path,High,Old nested to new flat
/residential-roofing/roof-coating/,/services/residential-roof-coating,Service Path,High,Old nested to new flat
